ClassId,Image,Category,CommonName,FamilyName,ScientificName,Height,Weight,Habitat,Lifespan,Description
8,Image/train/BAIRD SPARROW/001.jpg,Bird,Baird's Sparrow,Passerellidae,Ammodramus bairdii,12-13 cm (4.5-5 inches),18 grams,Grasslands,Not Available Right Now,"Baird's Sparrow is a small grassland bird found in the northern Great Plains of North America. It is recognized by its brown streaked plumage and melodic song. It feeds on seeds and insects."
9,Image/train/BALTIMORE ORIOLE/001.jpg,Bird,Baltimore Oriole,Icteridae,Icterus galbula,17-19 cm (7-8 inches),30-40 grams,Open woodlands,12-14 years,"The Baltimore Oriole is a brightly colored songbird known for its striking orange and black plumage. Found across eastern North America, it builds hanging nests and feeds on insects, fruits, and nectar."
10,Image/train/BANK SWALLOW/001.jpg,Bird,Bank Swallow,Hirundinidae,Riparia riparia,12-14 cm (5 inches),12-18 grams,Near rivers and lakes,8-10 years,"The Bank Swallow is a small migratory bird that nests in burrows along riverbanks. It is brown above and white below, and feeds on flying insects while in flight."
11,Image/train/BARN SWALLOW/001.jpg,Bird,Barn Swallow,Hirundinidae,Hirundo rustica,15-19 cm (6-7.5 inches),16-22 grams,Open fields,12-16 years,"The Barn Swallow is a familiar bird known for its graceful flight and deeply forked tail. It is found worldwide and is often seen in rural areas, nesting in barns and other structures."
14,Image/train/BAT/001.jpg,Mammal,Bat,Chiroptera,Varies by species,Varies by species,Caves, forests,5-30 years,"Bats are the only mammals capable of true flight. Found worldwide, they use echolocation to navigate and find food, primarily feeding on insects, fruit, and nectar."
12,Image/train/BAY BREASTED WARBLER/001.jpg,Bird,Bay-breasted Warbler,Parulidae,Setophaga castanea,13-15 cm (5-6 inches),10-15 grams,Boreal forests,Not Available Right Now,"The Bay-breasted Warbler is a small migratory songbird with a chestnut-colored breast. It breeds in northern North America and winters in Central and South America. It feeds on insects and fruit."
16,Image/train/BEAR/001.jpg,Mammal,Bear,Ursidae,Ursus,Varies by species,Varies by species,Forests,20-30 years,"Bears are large omnivorous mammals found across the Northern Hemisphere. They have powerful bodies and are skilled foragers, feeding on plants, fish, and small mammals."
17,Image/train/BEE/001.jpg,Insect,Bee,Apidae,Varies by species,1.3 cm (0.5 inches) average,0.1-0.2 grams,Forests,Several weeks to several years,"Bees are flying insects known for their role in pollination. They live in colonies and produce honey and wax. Found worldwide, bees feed on nectar and pollen from flowers."
18,Image/train/BEETLE/001.jpg,Insect,Beetle,Coleoptera,Varies by species,Varies by species,Forests,Varies by species,"Beetles are a group of insects with hard exoskeletons and wings. They are found in almost every habitat and have a wide range of diets, including plants, animals, and fungi."
13,Image/train/BELTED KINGFISHER/001.jpg,Bird,Belted Kingfisher,Alcedinidae,Megaceryle alcyon,28-35 cm (11-14 inches),140-170 grams,Near rivers,6-14 years,"The Belted Kingfisher is a stocky bird known for its large head, shaggy crest, and loud, rattling call. It dives into the water to catch fish and is found across North America."
14,Image/train/BEWICK WREN/001.jpg,Bird,Bewick's Wren,Troglodytidae,Thryomanes bewickii,13 cm (5 inches),10-12 grams,Open woodlands,8 years,"Bewick's Wren is a small, active bird with a long tail often held upright. It is found in western North America and is known for its complex songs and insect-based diet."
21,Image/train/BISON/001.jpg,Mammal,Bison,Bovidae,Bison bison,180-210 cm (6-7 feet),700-900 kg,Grasslands,15-20 years,"The Bison, also known as the American buffalo, is a large herbivorous mammal native to North America. It has a large head, shaggy mane, and strong hump. It primarily feeds on grasses and is an iconic species of the Great Plains."
16,Image/train/BLACK AND WHITE WARBLER/001.jpg,Bird,Black-and-white Warbler,Parulidae,Mniotilta varia,13 cm (5 inches),11 grams,Deciduous forests,10 years,"The Black-and-white Warbler is a small songbird known for its distinctive black-and-white stripes. It creeps along tree trunks and branches searching for insects, with its foraging habits resembling that of a nuthatch."
17,Image/train/BLACK BILLED CUCKOO/001.jpg,Bird,Black-billed Cuckoo,Cuculidae,Coccyzus erythropthalmus,28-32 cm (11-13 inches),45-55 grams,Deciduous forests,5-6 years,"The Black-billed Cuckoo is a secretive bird that is mostly active at dusk and dawn. It feeds on caterpillars and is known for its long, slim body and black bill."
18,Image/train/BLACK CAPPED VIREO/001.jpg,Bird,Black-capped Vireo,Vireonidae,Vireo atricapilla,11-12 cm (4.5 inches),10 grams,Open woodlands,5-6 years,"The Black-capped Vireo is a small songbird with a distinctive black cap and white spectacles. It is found in scrubby habitats of Texas and northern Mexico, foraging for insects in the foliage."
19,Image/train/BLACK FOOTED ALBATROSS/001.jpg,Bird,Black-footed Albatross,Diomedeidae,Phoebastria nigripes,70-90 cm (27-35 inches),2.5-4.2 kg,Open ocean,40 years,"The Black-footed Albatross is a large seabird with predominantly dark plumage. It spends most of its life at sea, feeding on squid and fish, and is known for its long wingspan that allows it to glide over the ocean effortlessly."
15,Image/train/BLACK TERN/001.jpg,Bird,Black Tern,Laridae,Chlidonias niger,22-24 cm (9 inches),60-70 grams,Freshwater marshes,10 years,"The Black Tern is a small, graceful waterbird with dark plumage during the breeding season. It nests in wetlands and feeds on small fish and insects, often seen flying over the water's surface."
20,Image/train/BLACK THROATED BLUE WARBLER/001.jpg,Bird,Black-throated Blue Warbler,Parulidae,Setophaga caerulescens,12-13 cm (5 inches),9-10 grams,Deciduous forests,10 years,"The Black-throated Blue Warbler is a striking songbird with deep blue upperparts and a black throat. Males are easily recognizable, while females are more muted in color. It is commonly found in forests of eastern North America."
21,Image/train/BLACK THROATED SPARROW/001.jpg,Bird,Black-throated Sparrow,Passerellidae,Amphispiza bilineata,13 cm (5 inches),12-15 grams,Desert scrub,Not Available Right Now,"The Black-throated Sparrow is a small, desert-dwelling bird known for its black face and throat with white stripes. It is commonly found in the southwestern United States and feeds on seeds and insects."
22,Image/train/BLUE GROSBEAK/001.jpg,Bird,Blue Grosbeak,Cardinalidae,Passerina caerulea,16-18 cm (6-7 inches),26-31 grams,Open woodlands,6-10 years,"The Blue Grosbeak is a vibrant blue bird with chestnut wing bars. Males are easily identified by their intense blue plumage, while females are brown. It is found in the southern U.S. and Mexico, often foraging for seeds and insects."
24,Image/train/BLUE HEADED VIREO/001.jpg,Bird,Blue-headed Vireo,Vireonidae,Vireo solitarius,12-15 cm (5-6 inches),13-19 grams,Mixed forests,Not Available Right Now,"The Blue-headed Vireo is a small, stocky songbird with a distinctive blue-gray head and white spectacles. It is a patient forager, methodically searching for insects in the foliage."
23,Image/train/BLUE JAY/001.jpg,Bird,Blue Jay,Corvidae,Cyanocitta cristata,25-30 cm (9.8-11.8 inches),70-100 grams,Forests,7 years,"The Blue Jay is a large, colorful bird native to North America, known for its vibrant blue feathers and noisy calls. It is highly intelligent, often seen mimicking the calls of other birds, and feeds on seeds, insects, and small animals."
25,Image/train/BLUE WINGED WARBLER/001.jpg,Bird,Blue-winged Warbler,Parulidae,Vermivora cyanoptera,12 cm (4.7 inches),8-10 grams,Thickets and overgrown fields,8-10 years,"The Blue-winged Warbler is a small, brightly colored bird with yellow underparts and blue-gray wings. It is a migratory species that breeds in eastern North America and winters in Central America."
33,Image/train/BOAR/001.jpg,Mammal,Boar,Suidae,Sus scrofa,90-200 cm (35-79 inches),50-150 kg,Forests,10-14 years,"Boars are wild pigs known for their tough, bristly coats and sharp tusks. They are found in Europe, Asia, and parts of North America, and are omnivores, feeding on plants, insects, and small animals."
26,Image/train/BOAT TAILED GRACKLE/001.jpg,Bird,Boat-tailed Grackle,Icteridae,Quiscalus major,38-46 cm (15-18 inches),140-250 grams,Coastal marshes,10 years,"The Boat-tailed Grackle is a large blackbird with iridescent plumage, commonly found in marshy areas along the southeastern coast of the U.S. It has a long, keel-shaped tail and feeds on insects, seeds, and small aquatic animals."
27,Image/train/BOBOLINK/001.jpg,Bird,Bobolink,Icteridae,Dolichonyx oryzivorus,16-18 cm (6-7 inches),34-56 grams,Grasslands,5-9 years,"The Bobolink is a small songbird known for its striking black, white, and yellow breeding plumage. It migrates long distances between North and South America and is often found in meadows and fields."
28,Image/train/BOHEMIAN WAXWING/001.jpg,Bird,Bohemian Waxwing,Bombycillidae,Bombycilla garrulus,19-23 cm (7.5-9 inches),55-67 grams,Boreal forests,Not Available Right Now,"The Bohemian Waxwing is a plump, silky-feathered bird known for the bright red tips on its wing feathers. It breeds in the northern forests of Eurasia and North America and feeds mainly on berries."
29,Image/train/BRANDT CORMORANT/001.jpg,Bird,Brandt's Cormorant,Phalacrocoracidae,Phalacrocorax penicillatus,80-90 cm (31-35 inches),1.5-2.5 kg,Coastal waters,6-10 years,"Brandt's Cormorant is a large seabird found along the Pacific coast of North America. It is a proficient diver, catching fish and other small marine animals underwater."
30,Image/train/BREWER BLACKBIRD/001.jpg,Bird,Brewer's Blackbird,Icteridae,Euphagus cyanocephalus,22-26 cm (9-10 inches),60-70 grams,Open fields,10 years,"Brewer's Blackbird is a medium-sized blackbird with glossy black plumage in males and brownish plumage in females. It is often found in open fields, farmlands, and urban areas, feeding on insects and seeds."
31,Image/train/BREWER SPARROW/001.jpg,Bird,Brewer's Sparrow,Passerellidae,Spizella breweri,12-14 cm (5-6 inches),12 grams,Shrublands,Not Available Right Now,"Brewer's Sparrow is a small, grayish-brown songbird found in the shrublands of western North America. It is known for its long, complex song and foraging behavior, feeding on seeds and insects."
32,Image/train/BRONZED COWBIRD/001.jpg,Bird,Bronzed Cowbird,Icteridae,Molothrus aeneus,18-20 cm (7-8 inches),50 grams,Open woodlands,10 years,"The Bronzed Cowbird is a glossy blackbird known for its bronze sheen and parasitic nesting behavior, laying its eggs in the nests of other bird species. It is found in the southern U.S., Mexico, and Central America."
33,Image/train/BROWN CREEPER/001.jpg,Bird,Brown Creeper,Certhiidae,Certhia americana,12-14 cm (5-6 inches),7-10 grams,Forests,5 years,"The Brown Creeper is a small, tree-climbing bird that forages by spiraling up tree trunks in search of insects hidden in the bark. It is well camouflaged with its brown and white plumage."
34,Image/train/BROWN PELICAN/001.jpg,Bird,Brown Pelican,Pelecanidae,Pelecanus occidentalis,100-137 cm (39-54 inches),2.75-5.5 kg,Coastal waters,30 years,"The Brown Pelican is a large seabird known for its distinctive large bill and throat pouch, which it uses to scoop up fish. It is commonly found along the coastlines of the Americas."
35,Image/train/BROWN THRASHER/001.jpg,Bird,Brown Thrasher,Mimidae,Toxostoma rufum,23-30 cm (9-12 inches),61-89 grams,Woodlands,10-12 years,"The Brown Thrasher is a large, brown songbird known for its long tail and impressive repertoire of songs, often mimicking other birds. It is commonly found in dense shrubs and woodlands across North America."
44,Image/train/BUTTERFLY/001.jpg,Insect,Butterfly,Papilionidae,Various,1-30 cm,0.01-3 grams,Varied,Not Available Right Now,"Butterflies are colorful, flying insects belonging to the Papilionidae family, known for their large, often brightly colored wings. They are found in a wide variety of habitats, including gardens, forests, and grasslands."
36,Image/train/CACTUS WREN/001.jpg,Bird,Cactus Wren,Troglodytidae,Campylorhynchus brunneicapillus,18-23 cm (7-9 inches),33-46 grams,Deserts,7 years,"The Cactus Wren is a large wren native to the deserts of the southwestern United States and Mexico. It is known for its loud, harsh call and its habit of building nests in thorny cacti to protect itself from predators."
37,Image/train/CALIFORNIA GULL/001.jpg,Bird,California Gull,Laridae,Larus californicus,46-54 cm (18-21 inches),430-575 grams,Coastal areas,15-20 years,"The California Gull is a medium-sized gull found along the Pacific coast of North America. It feeds on fish, insects, and carrion and is often seen in large flocks."
38,Image/train/CANADA WARBLER/001.jpg,Bird,Canada Warbler,Parulidae,Cardellina canadensis,12-15 cm (4.7-6 inches),9-12 grams,Boreal forests,8-10 years,"The Canada Warbler is a small songbird with bright yellow underparts and a distinctive black 'necklace.' It breeds in the boreal forests of Canada and migrates to South America during winter."
39,Image/train/CAPE GLOSSY STARLING/001.jpg,Bird,Cape Glossy Starling,Sturnidae,Lamprotornis nitens,22-24 cm (8.5-9.5 inches),75-105 grams,Savannas,Not Available Right Now,"The Cape Glossy Starling is a striking bird with iridescent blue-green feathers and bright orange eyes. It is found in sub-Saharan Africa and is often seen in small flocks foraging for insects and fruit."
40,Image/train/CAPE MAY WARBLER/001.jpg,Bird,Cape May Warbler,Parulidae,Setophaga tigrina,12-14 cm (5-5.5 inches),8-13 grams,Coniferous forests,4-7 years,"The Cape May Warbler is a small, migratory songbird known for its tiger-like striped plumage. It breeds in the northern coniferous forests of North America and winters in the Caribbean."
41,Image/train/CARDINAL/001.jpg,Bird,Northern Cardinal,Cardinalidae,Cardinalis cardinalis,21-23 cm (8-9 inches),42-48 grams,Woodlands,15 years,"The Northern Cardinal is a vibrant red songbird known for its crest and black face mask. It is one of the most recognized birds in North America and is often found in woodlands and gardens."
42,Image/train/CAROLINA WREN/001.jpg,Bird,Carolina Wren,Troglodytidae,Thryothorus ludovicianus,12-14 cm (5-5.5 inches),18-23 grams,Forests,6 years,"The Carolina Wren is a small, energetic songbird with a loud and distinctive song. It is commonly found in the southeastern United States, inhabiting dense brushy areas and wooded regions."
43,Image/train/CASPIAN TERN/001.jpg,Bird,Caspian Tern,Laridae,Hydroprogne caspia,47-54 cm (18-21 inches),530-780 grams,Coastal areas,20-25 years,"The Caspian Tern is the largest tern species, recognized by its large, red bill and graceful flight. It feeds on fish and is often seen diving into the water from great heights to catch its prey."
53,Image/train/CAT/001.jpg,Mammal,Cat,Felidae,Felis catus,23-25 cm (9-10 inches),4-6 kg,Urban areas,15 years,"Domestic cats are small carnivorous mammals known for their agility and playful nature. They are commonly kept as pets and are found in a wide variety of environments, from urban homes to rural farms."
54,Image/train/CATERPILLAR/001.jpg,Insect,Caterpillar,Lepidoptera,Various,Varies,Varies,Various,Not Available Right Now,"Caterpillars are the larval stage of butterflies and moths, belonging to the order Lepidoptera. They are often brightly colored and are known for their voracious appetite, feeding on plant leaves."
44,Image/train/CEDAR WAXWING/001.jpg,Bird,Cedar Waxwing,Bombycillidae,Bombycilla cedrorum,14-17 cm (5.5-6.7 inches),30 grams,Open woodlands,7 years,"The Cedar Waxwing is a sleek, gregarious bird known for its silky brown plumage and wax-like wing tips. It is often seen in flocks feeding on berries and insects in open woodlands and suburban areas."
45,Image/train/CERULEAN WARBLER/001.jpg,Bird,Cerulean Warbler,Parulidae,Setophaga cerulea,11-12 cm (4.5 inches),8-10 grams,Deciduous forests,6 years,"The Cerulean Warbler is a small songbird with striking blue upperparts and white underparts. It breeds in the eastern United States and migrates to South America during winter."
46,Image/train/CHESTNUT SIDED WARBLER/001.jpg,Bird,Chestnut-sided Warbler,Parulidae,Setophaga pensylvanica,12-14 cm (4.7-5.5 inches),10 grams,Young deciduous forests,7 years,"The Chestnut-sided Warbler is a brightly colored songbird with yellow, black, and chestnut markings. It breeds in young forests of the northeastern United States and southeastern Canada."
58,Image/train/CHIMPANZEE/001.jpg,Mammal,Chimpanzee,Hominidae,Pan troglodytes,100-170 cm (3-5.6 feet),32-60 kg,Forests,40-50 years,"Chimpanzees are great apes native to the forests and savannas of tropical Africa. They are highly intelligent animals known for their use of tools and complex social structures."
47,Image/train/CHIPPING SPARROW/001.jpg,Bird,Chipping Sparrow,Passerellidae,Spizella passerina,12-14 cm (5-6 inches),11-13 grams,Open woodlands,9 years,"The Chipping Sparrow is a small, slender songbird with a rusty crown and a distinctive black eye line. It is commonly found in gardens, parks, and open woodlands across North America."
48,Image/train/CHUCK WILL WIDOW/001.jpg,Bird,Chuck-will's-widow,Caprimulgidae,Antrostomus carolinensis,30-32 cm (12-13 inches),110-120 grams,Forests,9-10 years,"The Chuck-will's-widow is a nocturnal bird known for its haunting, repetitive call. It is found in southeastern North America, where it feeds on insects during the night."
49,Image/train/CLARK NUTCRACKER/001.jpg,Bird,Clark's Nutcracker,Corvidae,Nucifraga columbiana,30-33 cm (12-13 inches),120-140 grams,Coniferous forests,17 years,"Clark's Nutcracker is a large, gray and black bird with a long, pointed bill. It is known for its ability to store and retrieve pine seeds, which it buries in the ground for later consumption."
50,Image/train/CLAY COLORED SPARROW/001.jpg,Bird,Clay-colored Sparrow,Passerellidae,Spizella pallida,12-14 cm (5-6 inches),10-12 grams,Prairies and shrublands,7 years,"The Clay-colored Sparrow is a small, pale songbird with a distinctive gray nape and buff-colored breast. It is commonly found in prairies and shrublands of North America."
51,Image/train/CLIFF SWALLOW/001.jpg,Bird,Cliff Swallow,Hirundinidae,Petrochelidon pyrrhonota,13-15 cm (5-6 inches),19-28 grams,Open areas near cliffs,5-8 years,"The Cliff Swallow is a small, social bird that nests in large colonies under cliffs and bridges. It is known for its gourd-shaped mud nests and its agile flight while catching insects in the air."
214,Image/train/COCKROACH/001.jpg,Insect,Cockroach,Blattidae,Blattella germanica,1-5 cm (0.4-2 inches),0.1-1 grams,Various,1 year,"Cockroaches are hardy insects that can be found in almost any environment. They are scavengers, feeding on organic material, and are known for their ability to survive in harsh conditions."
52,Image/train/COMMON RAVEN/001.jpg,Bird,Common Raven,Corvidae,Corvus corax,56-69 cm (22-27 inches),0.7-1.6 kg,Forests,10-15 years,"The Common Raven is a large, all-black bird with a thick neck and shaggy throat feathers. It is found across the Northern Hemisphere and is known for its intelligence and complex vocalizations."
53,Image/train/COMMON TERN/001.jpg,Bird,Common Tern,Laridae,Sterna hirundo,31-35 cm (12-14 inches),90-150 grams,Coastal areas,20-25 years,"The Common Tern is a medium-sized seabird known for its graceful flight and long, forked tail. It breeds in coastal areas and feeds by diving into the water to catch fish."
54,Image/train/COMMON YELLOWTHROAT/001.jpg,Bird,Common Yellowthroat,Parulidae,Geothlypis trichas,11-14 cm (4-5.5 inches),9-10 grams,Marshes and wetlands,9 years,"The Common Yellowthroat is a small, warbler-like bird with a bright yellow throat and a distinctive black face mask. It is often found in marshes and wetlands, where it feeds on insects."
213,Image/train/COW/001.jpg,Mammal,Cow,Bovidae,Bos taurus,120-150 cm (4-5 feet),500-1000 kg,Grasslands,20 years,"Cows are large herbivorous mammals domesticated for their milk, meat, and hides. They are commonly found on farms and are an integral part of agricultural systems worldwide."
69,Image/train/COYOTE/001.jpg,Mammal,Coyote,Canidae,Canis latrans,58-66 cm (23-26 inches),7-21 kg,Deserts and forests,10-14 years,"Coyotes are highly adaptable mammals found across North America. They are known for their intelligence and ability to thrive in both rural and urban environments."
215,Image/train/CRAB/001.jpg,Crustacean,Crab,Grapsidae,Various,Varies,Varies,Coastal areas,3-5 years,"Crabs are crustaceans with a hard exoskeleton and claws used for defense and catching food. They are commonly found in coastal areas and play a key role in the marine food chain."
55,Image/train/CRESTED AUKLET/001.jpg,Bird,Crested Auklet,Alcidae,Aethia cristatella,18-27 cm (7-10.5 inches),220-330 grams,Coastal cliffs,20-30 years,"The Crested Auklet is a small, seabird known for its distinctive crest of feathers and bright orange bill. It breeds in large colonies on coastal cliffs in the Bering Sea and North Pacific."
216,Image/train/CROW/001.jpg,Bird,Crow,Corvidae,Corvus brachyrhynchos,40-50 cm (16-20 inches),300-600 grams,Urban areas,7-8 years,"The American Crow is a large, intelligent bird known for its all-black plumage and loud, cawing call. It is highly adaptable and found in a variety of habitats, from forests to cities."
56,Image/train/DARK EYED JUNCO/001.jpg,Bird,Dark-eyed Junco,Passerellidae,Junco hyemalis,14-16 cm (5.5-6 inches),18-30 grams,Forests and grasslands,3-11 years,"The Dark-eyed Junco is a small, sparrow-like bird with a dark head and pale belly. It is commonly found in forests and grasslands across North America, especially during the winter months."
217,Image/train/DEER/001.jpg,Mammal,Deer,Cervidae,Various,80-200 cm (3-6.5 feet),25-300 kg,Forests,10-15 years,"Deer are herbivorous mammals known for their antlers, which are shed and regrown each year. They are found in a wide range of habitats, including forests, grasslands, and mountains."
218,Image/train/DOG/001.jpg,Mammal,Dog,Canidae,Canis lupus familiaris,Varies,Varies,Domestic environments,10-15 years,"Domestic dogs are widely kept as pets and are known for their loyalty and companionship. They are highly variable in size and appearance, having been bred for a variety of purposes."
219,Image/train/DOLPHIN/001.jpg,Mammal,Dolphin,Delphinidae,Delphinus delphis,1.8-3.5 meters (6-12 feet),100-650 kg,Oceans,40-50 years,"Dolphins are highly intelligent marine mammals known for their playful behavior and social nature. They are commonly found in oceans and some rivers around the world."
220,Image/train/DONKEY/001.jpg,Mammal,Donkey,Equidae,Equus asinus,90-140 cm (3-4.5 feet),150-300 kg,Deserts and grasslands,30-50 years,"Donkeys are domesticated mammals known for their strength and resilience. They are often used as working animals in various parts of the world, especially in arid regions."
57,Image/train/DOWNY WOODPECKER/001.jpg,Bird,Downy Woodpecker,Picidae,Picoides pubescens,14-17 cm (5.5-7 inches),20-33 grams,Forests,4-11 years,"The Downy Woodpecker is the smallest woodpecker in North America, recognized by its black and white plumage and small bill. It is commonly found in forests and woodlands."
221,Image/train/DRAGONFLY/001.jpg,Insect,Dragonfly,Odonata,Various,4-10 cm (1.5-4 inches),0.2-2 grams,Near water,Not Available Right Now,"Dragonflies are agile fliers and predatory insects that are commonly found near water. They are known for their large eyes and two pairs of strong, transparent wings."
222,Image/train/DUCK/001.jpg,Bird,Duck,Anatidae,Various,30-65 cm (12-25 inches),Freshwater lakes and rivers,5-10 years,"Ducks are waterfowl commonly found in freshwater habitats. They are known for their webbed feet, waterproof feathers, and distinctive quacking calls."
223,Image/train/EAGLE/001.jpg,Bird,Eagle,Accipitridae,Aquila chrysaetos,66-102 cm (26-40 inches),3-6.3 kg,Mountains and forests,20-30 years,"Eagles are large birds of prey known for their powerful build, keen eyesight, and impressive flying abilities. They are often found in mountainous regions and near large bodies of water."
58,Image/train/EARED GREBE/001.jpg,Bird,Eared Grebe,Podicipedidae,Podiceps nigricollis,30-38 cm (12-15 inches),500-1200 grams,Freshwater lakes,5-10 years,"The Eared Grebe is a small, diving bird known for its striking black and gold plumage during the breeding season. It is found in freshwater lakes and marshes across North America."
59,Image/train/EASTERN TOWHEE/001.jpg,Bird,Eastern Towhee,Passerellidae,Pipilo erythrophthalmus,16-20 cm (6.3-7.9 inches),30-50 grams,Brushy areas,3-5 years,"The Eastern Towhee is a large sparrow known for its distinctive black, white, and rusty plumage. It is often found in dense shrubs and thickets, where it forages for seeds and insects."
60,Image/train/ELEGANT TERN/001.jpg,Bird,Elegant Tern,Laridae,Sterna elegans,38-45 cm (15-18 inches),140-200 grams,Coastal areas,20-30 years,"The Elegant Tern is a slender seabird known for its long, slender wings and distinctive black cap. It breeds along the Pacific coast and is often seen in large flocks."
224,Image/train/ELEPHANT/001.jpg,Mammal,Elephant,Elephantidae,Elephas maximus,2.5-4 meters (8-13 feet),3000-6000 kg,Savannas and forests,60-70 years,"Elephants are the largest land mammals, known for their intelligence, strong social bonds, and distinctive trunks. They are primarily herbivores and play a crucial role in their ecosystems."
61,Image/train/EUROPEAN GOLDFINCH/001.jpg,Bird,European Goldfinch,Fringillidae,Carduelis carduelis,12-13 cm (4.7-5.1 inches),16-19 grams,Open woodlands,3-6 years,"The European Goldfinch is a small, colorful songbird known for its bright yellow wing patches and sweet song. It is commonly found in gardens, parks, and open woodlands."
62,Image/train/EVENING GROSBEAK/001.jpg,Bird,Evening Grosbeak,Fringillidae,Coccothraustes vespertinus,18-22 cm (7-8.5 inches),35-50 grams,Forests,5-10 years,"The Evening Grosbeak is a large finch with a robust bill, known for its striking yellow and black plumage. It is found in coniferous forests of North America."
63,Image/train/FIELD SPARROW/001.jpg,Bird,Field Sparrow,Passerellidae,Spizella pusilla,12-14 cm (4.7-5.5 inches),11-12 grams,Grasslands,5-9 years,"The Field Sparrow is a small, brown songbird with a distinctive white eye ring. It is commonly found in open fields and shrubby areas across North America."
64,Image/train/FISH CROW/001.jpg,Bird,Fish Crow,Corvidae,Corvus ossifragus,38-43 cm (15-17 inches),300-400 grams,Coastal areas,10-15 years,"The Fish Crow is a small, black bird known for its cawing call. It is commonly found along coastal regions of the southeastern United States, where it feeds on fish and other aquatic prey."
225,Image/train/FLAMINGO/001.jpg,Bird,Flamingo,Phoenicopteridae,Phoenicopterus roseus,90-150 cm (35-59 inches),2.5-4 kg,Coastal lagoons,20-30 years,"Flamingos are large wading birds known for their long necks, legs, and distinctive pink plumage. They are commonly found in shallow waters where they feed on algae and small crustaceans."
65,Image/train/FLORIDA JAY/001.jpg,Bird,Florida Jay,Corvidae,Cyanocitta c. floridana,25-30 cm (9.8-11.8 inches),80-100 grams,Forests,10-12 years,"The Florida Jay is a subspecies of the Blue Jay, native to Florida. It is known for its vibrant blue feathers and strong, vocal calls."
226,Image/train/FLY/001.jpg,Insect,Fly,Diptera,Various,1-20 mm (0.04-0.8 inches),0.5-20 mg,Varied,Not Available Right Now,"Flies are small insects belonging to the order Diptera, characterized by their two wings and large compound eyes. They are found in a variety of habitats and play important roles in ecosystems as pollinators and decomposers."
